"","tree","site","plot","species","n_pds","n_mds"
"1","1478","Cucu Mesa","Low","blue oak",3,6
"2","2004","Cucu Mesa","High","blue oak",6,5
"3","2005","Cucu Mesa","High","blue oak",4,8
"4","2006","Cucu Mesa","High","blue oak",6,8
"5","2007","Cucu Mesa","High","blue oak",6,8
"6","2008","Cucu Mesa","High","blue oak",2,2
"7","2009","LL","Hobbiton","blue oak",7,11
"8","2010","LL","Weathertop","blue oak",9,10
"9","2011","LL","Weathertop","blue oak",7,8
"10","2012","Cucu Mesa","Low","blue oak",5,6
"11","2014","Cucu Mesa","Low","blue oak",1,1
"12","2015","Cucu Mesa","Low","blue oak",5,6
"13","2020","Chamise","Chamise","blue oak",7,8
"14","2021","Chamise","Chamise","blue oak",7,8
"15","2022","Chamise","Chamise","live oak",7,6
"16","2023","Chamise","Chamise","live oak",7,6
"17","2024","Chamise","Chamise","blue oak",7,8
"18","2025","Chamise","Chamise","blue oak",7,7
"19","2026","Chamise","Shedd","blue oak",6,8
"20","2027","Chamise","Shedd","blue oak",7,4
"21","2028","Chamise","Shedd","blue oak",6,6
"22","2029","Chamise","Shedd","live oak",5,5
"23","2030","Chamise","Shedd","live oak",6,5
"24","2031","Chamise","Shedd","blue oak",6,6
"25","2086","PineNeedle","Low","blue oak",12,14
"26","2087","PineNeedle","Low","blue oak",5,5
"27","2088","PineNeedle","Low","blue oak",6,6
"28","2089","PineNeedle","Low","live oak",4,7
"29","2090","PineNeedle","Low","blue oak",6,6
"30","2091","PineNeedle","Low","live oak",6,7
"31","2092","PineNeedle","Low","live oak",6,7
"32","2093","PineNeedle","Low","live oak",6,5
"33","2301","LL","Hobbiton","live oak",11,13
"34","2331","LL","Ridge","live oak",10,13
"35","2343","LL","Hobbiton","blue oak",16,15
"36","2345","LL","Hobbiton","live oak",12,13
"37","2346","LL","Hobbiton","blue oak",17,17
"38","2347","LL","Hobbiton","blue oak",17,19
"39","2348","LL","Hobbiton","blue oak",2,0
"40","2349","LL","Hobbiton","blue oak",3,1
"41","2352","LL","MiddleEarth","live oak",10,9
"42","2354","LL","MiddleEarth","live oak",10,12
"43","2360","LL","MiddleEarth","blue oak",6,7
"44","2365","LL","MiddleEarth","blue oak",16,17
"45","2366","LL","MiddleEarth","blue oak",1,1
"46","2367","LL","MiddleEarth","blue oak",15,17
"47","2369","LL","MiddleEarth","blue oak",14,14
"48","2370","LL","Hobbiton","blue oak",9,8
"49","2371","LL","Hobbiton","blue oak",11,8
"50","2372","LL","Hobbiton","blue oak",11,10
"51","2373","LL","Hobbiton","blue oak",4,0
"52","2375","LL","Hobbiton","blue oak",9,7
"53","2376","LL","MiddleEarth","live oak",10,13
"54","2377","LL","Rohan","live oak",8,10
"55","2378","LL","Rohan","blue oak",10,11
"56","2379","LL","Rohan","blue oak",10,11
"57","2380","LL","Rohan","live oak",11,14
"58","2381","LL","Weathertop","blue oak",11,13
"59","2382","LL","Weathertop","blue oak",11,14
"60","2383","LL","Weathertop","blue oak",10,9
"61","2384","LL","Weathertop","blue oak",10,14
